ibin	Eff	Err
0	0.8193	0.0008	
1	0.8316	0.0013	
2	0.8437	0.0011	
3	0.8056	0.0020	
4	0.8577	0.0004	
5	0.8652	0.0006	
6	0.8713	0.0004	
7	0.8329	0.0010	
8	0.8869	0.0005	
9	0.8861	0.0009	
10	0.8915	0.0002	
11	0.8537	0.0010	
12	0.9217	0.0008	
13	0.9146	0.0015	
14	0.9178	0.0011	
15	0.8785	0.0011	
16	0.9571	0.0001	
17	0.9498	0.0002	
18	0.9448	0.0001	
19	0.8981	0.0004	
20	0.9770	0.0001	
21	0.9742	0.0001	
22	0.9638	0.0001	
23	0.9103	0.0009	
24	0.9788	0.0001	
25	0.9747	0.0002	
26	0.9641	0.0002	
27	0.9103	0.0009	
28	0.9790	0.0002	
29	0.9739	0.0004	
30	0.9612	0.0003	
31	0.9033	0.0010	
32	0.9775	0.0030	
33	0.9703	0.0015	
34	0.9586	0.0017	
35	0.9066	0.0065	
