ibin	Eff	Err
0	0.8321	0.0041	
1	0.8443	0.0050	
2	0.8395	0.0068	
3	0.7664	0.0037	
4	0.8615	0.0012	
5	0.8727	0.0031	
6	0.8665	0.0015	
7	0.7915	0.0019	
8	0.8845	0.0009	
9	0.8861	0.0042	
10	0.8843	0.0006	
11	0.8103	0.0013	
12	0.9115	0.0006	
13	0.9070	0.0010	
14	0.9027	0.0006	
15	0.8315	0.0016	
16	0.9488	0.0002	
17	0.9426	0.0004	
18	0.9322	0.0003	
19	0.8559	0.0008	
20	0.9688	0.0001	
21	0.9660	0.0003	
22	0.9524	0.0002	
23	0.8724	0.0036	
24	0.9709	0.0005	
25	0.9685	0.0005	
26	0.9539	0.0004	
27	0.8745	0.0015	
28	0.9727	0.0004	
29	0.9677	0.0010	
30	0.9550	0.0007	
31	0.8781	0.0025	
32	0.9734	0.0082	
33	0.9600	0.0088	
34	0.9388	0.0067	
35	0.8831	0.0201	
