ibin	Eff	Err
0	0.8125	0.0007	
1	0.8179	0.0009	
2	0.8069	0.0008	
3	0.7524	0.0014	
4	0.8489	0.0003	
5	0.8548	0.0009	
6	0.8370	0.0005	
7	0.7824	0.0009	
8	0.8776	0.0002	
9	0.8740	0.0011	
10	0.8614	0.0003	
11	0.8075	0.0006	
12	0.9079	0.0002	
13	0.8951	0.0002	
14	0.8856	0.0002	
15	0.8356	0.0003	
16	0.9452	0.0001	
17	0.9321	0.0001	
18	0.9168	0.0001	
19	0.8633	0.0004	
20	0.9670	0.0001	
21	0.9600	0.0001	
22	0.9419	0.0001	
23	0.8859	0.0002	
24	0.9702	0.0001	
25	0.9629	0.0003	
26	0.9470	0.0001	
27	0.8966	0.0004	
28	0.9703	0.0001	
29	0.9648	0.0003	
30	0.9494	0.0003	
31	0.8986	0.0016	
32	0.9741	0.0009	
33	0.9641	0.0019	
34	0.9504	0.0019	
35	0.9256	0.0079	
