ibin	Eff	Err
0	0.9328	0.0007	
1	0.9497	0.0009	
2	0.9501	0.0005	
3	0.9209	0.0011	
4	0.9356	0.0004	
5	0.9523	0.0006	
6	0.9541	0.0004	
7	0.9350	0.0008	
8	0.9374	0.0002	
9	0.9522	0.0004	
10	0.9576	0.0002	
11	0.9416	0.0005	
12	0.9382	0.0002	
13	0.9522	0.0003	
14	0.9587	0.0002	
15	0.9435	0.0004	
16	0.9376	0.0001	
17	0.9521	0.0001	
18	0.9598	0.0001	
19	0.9442	0.0002	
20	0.9356	0.0001	
21	0.9515	0.0001	
22	0.9613	0.0001	
23	0.9441	0.0002	
24	0.9324	0.0001	
25	0.9484	0.0002	
26	0.9617	0.0001	
27	0.9421	0.0003	
28	0.9232	0.0007	
29	0.9356	0.0013	
30	0.9596	0.0007	
31	0.9316	0.0022	
