ibin	Eff	Err
0	0.8476	0.0017	
1	0.8591	0.0014	
2	0.8627	0.0012	
3	0.8210	0.0023	
4	0.8751	0.0009	
5	0.8866	0.0015	
6	0.8881	0.0008	
7	0.8425	0.0014	
8	0.8946	0.0002	
9	0.9017	0.0011	
10	0.9070	0.0007	
11	0.8664	0.0012	
12	0.9257	0.0003	
13	0.9202	0.0006	
14	0.9253	0.0005	
15	0.8867	0.0008	
16	0.9587	0.0001	
17	0.9526	0.0002	
18	0.9492	0.0001	
19	0.9040	0.0004	
20	0.9781	0.0003	
21	0.9758	0.0001	
22	0.9665	0.0002	
23	0.9151	0.0009	
24	0.9802	0.0001	
25	0.9779	0.0003	
26	0.9674	0.0002	
27	0.9124	0.0008	
28	0.9808	0.0002	
29	0.9764	0.0004	
30	0.9665	0.0003	
31	0.9094	0.0013	
32	0.9824	0.0012	
33	0.9704	0.0024	
34	0.9630	0.0024	
35	0.9178	0.0110	
