ibin	Eff	Err
0	0.8480	0.0033	
1	0.8575	0.0021	
2	0.8572	0.0012	
3	0.7987	0.0038	
4	0.8719	0.0017	
5	0.8847	0.0026	
6	0.8832	0.0014	
7	0.8200	0.0018	
8	0.8932	0.0010	
9	0.8997	0.0017	
10	0.9012	0.0009	
11	0.8398	0.0018	
12	0.9177	0.0005	
13	0.9177	0.0011	
14	0.9188	0.0006	
15	0.8645	0.0049	
16	0.9524	0.0009	
17	0.9501	0.0004	
18	0.9433	0.0003	
19	0.8838	0.0006	
20	0.9720	0.0002	
21	0.9735	0.0002	
22	0.9617	0.0002	
23	0.8991	0.0007	
24	0.9745	0.0003	
25	0.9751	0.0005	
26	0.9637	0.0004	
27	0.9063	0.0014	
28	0.9743	0.0004	
29	0.9737	0.0008	
30	0.9626	0.0006	
31	0.9067	0.0024	
32	0.9756	0.0036	
33	0.9570	0.0078	
34	0.9661	0.0055	
35	0.9386	0.0267	
