ibin	Eff	Err
0	0.8034	0.0014	
1	0.8109	0.0031	
2	0.8180	0.0017	
3	0.7613	0.0029	
4	0.8366	0.0013	
5	0.8440	0.0021	
6	0.8420	0.0011	
7	0.7796	0.0020	
8	0.8572	0.0008	
9	0.8600	0.0008	
10	0.8545	0.0008	
11	0.7926	0.0014	
12	0.8873	0.0004	
13	0.8788	0.0005	
14	0.8757	0.0002	
15	0.8166	0.0006	
16	0.9343	0.0001	
17	0.9238	0.0004	
18	0.9092	0.0001	
19	0.8480	0.0005	
20	0.9581	0.0001	
21	0.9524	0.0002	
22	0.9338	0.0001	
23	0.8690	0.0004	
24	0.9622	0.0001	
25	0.9557	0.0004	
26	0.9393	0.0013	
27	0.8787	0.0009	
28	0.9636	0.0005	
29	0.9557	0.0012	
30	0.9391	0.0005	
31	0.8869	0.0016	
32	0.9608	0.0027	
33	0.9522	0.0053	
34	0.9372	0.0039	
35	0.8808	0.0150	
