# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading tau
XLabel=$p_\perp(\tau\mathrm{1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\tau\mathrm{1})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
DrawOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
LegendOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
LineColor=red
LineStyle=solid
Path=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
ScaledBy=4.95947501067303236e-06
Title=DY012jNLO_MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.084224e+00	0.000000e+00	-nan	-nan
1.084224e+00	1.175541e+00	1.645837e+01	5.131797e+00	5.131797e+00
1.175541e+00	1.274549e+00	1.770985e+01	5.059956e+00	5.059956e+00
1.274549e+00	1.381896e+00	1.283394e+01	4.810516e+00	4.810516e+00
1.381896e+00	1.498284e+00	5.380453e+00	4.931266e+00	4.931266e+00
1.498284e+00	1.624475e+00	2.481240e+01	5.157160e+00	5.157160e+00
1.624475e+00	1.761294e+00	1.647719e+01	4.293604e+00	4.293604e+00
1.761294e+00	1.909636e+00	1.350868e+01	4.136171e+00	4.136171e+00
1.909636e+00	2.070473e+00	1.323793e+01	3.893508e+00	3.893508e+00
2.070473e+00	2.244855e+00	1.436433e+01	3.933834e+00	3.933834e+00
2.244855e+00	2.433925e+00	1.391085e+01	3.442043e+00	3.442043e+00
2.433925e+00	2.638919e+00	1.283025e+01	3.401706e+00	3.401706e+00
2.638919e+00	2.861178e+00	8.452576e+00	2.928057e+00	2.928057e+00
2.861178e+00	3.102156e+00	9.355182e+00	2.750164e+00	2.750164e+00
3.102156e+00	3.363431e+00	8.628430e+00	2.711653e+00	2.711653e+00
3.363431e+00	3.646711e+00	7.958179e+00	2.501014e+00	2.501014e+00
3.646711e+00	3.953850e+00	1.060219e+01	2.446658e+00	2.446658e+00
3.953850e+00	4.286857e+00	1.880502e+00	2.025362e+00	2.025362e+00
4.286857e+00	4.647911e+00	5.550153e+00	2.081307e+00	2.081307e+00
4.647911e+00	5.039375e+00	5.758877e+00	1.692950e+00	1.692950e+00
5.039375e+00	5.463809e+00	3.836104e+00	1.533306e+00	1.533306e+00
5.463809e+00	5.923990e+00	4.898927e+00	1.539584e+00	1.539584e+00
5.923990e+00	6.422930e+00	7.279587e+00	1.757142e+00	1.757142e+00
6.422930e+00	6.963892e+00	6.019545e+00	1.570252e+00	1.570252e+00
6.963892e+00	7.550415e+00	5.338411e+00	1.400252e+00	1.400252e+00
7.550415e+00	8.186338e+00	6.696246e+00	1.600017e+00	1.600017e+00
8.186338e+00	8.875820e+00	7.265979e+00	1.541347e+00	1.541347e+00
8.875820e+00	9.623373e+00	6.366470e+00	1.340309e+00	1.340309e+00
9.623373e+00	1.043389e+01	8.807847e+00	1.552943e+00	1.552943e+00
1.043389e+01	1.131267e+01	8.693741e+00	1.501545e+00	1.501545e+00
1.131267e+01	1.226546e+01	1.091034e+01	1.492983e+00	1.492983e+00
1.226546e+01	1.329850e+01	1.163888e+01	1.543112e+00	1.543112e+00
1.329850e+01	1.441855e+01	1.520753e+01	1.573447e+00	1.573447e+00
1.441855e+01	1.563293e+01	1.454191e+01	1.490993e+00	1.490993e+00
1.563293e+01	1.694959e+01	1.864402e+01	1.631012e+00	1.631012e+00
1.694959e+01	1.837714e+01	2.052965e+01	1.509425e+00	1.509425e+00
1.837714e+01	1.992493e+01	2.160510e+01	1.558590e+00	1.558590e+00
1.992493e+01	2.160308e+01	2.470326e+01	1.623143e+00	1.623143e+00
