ibin	Eff	Err
0	0.8450	0.0019	
1	0.8581	0.0024	
2	0.8577	0.0012	
3	0.7932	0.0022	
4	0.8734	0.0010	
5	0.8834	0.0018	
6	0.8830	0.0008	
7	0.8176	0.0015	
8	0.8903	0.0004	
9	0.8997	0.0010	
10	0.9011	0.0006	
11	0.8403	0.0005	
12	0.9188	0.0003	
13	0.9180	0.0006	
14	0.9199	0.0002	
15	0.8652	0.0010	
16	0.9525	0.0001	
17	0.9504	0.0002	
18	0.9433	0.0001	
19	0.8821	0.0004	
20	0.9721	0.0003	
21	0.9734	0.0005	
22	0.9614	0.0001	
23	0.8994	0.0003	
24	0.9742	0.0002	
25	0.9748	0.0003	
26	0.9627	0.0002	
27	0.8986	0.0007	
28	0.9747	0.0002	
29	0.9738	0.0005	
30	0.9622	0.0003	
31	0.9128	0.0013	
32	0.9747	0.0018	
33	0.9688	0.0030	
34	0.9651	0.0034	
35	0.9117	0.0126	
