ibin	Eff	Err
0	0.9629	0.0006	
1	0.9883	0.0005	
2	0.9644	0.0005	
3	0.9566	0.0010	
4	0.9653	0.0003	
5	0.9899	0.0003	
6	0.9665	0.0003	
7	0.9615	0.0007	
8	0.9655	0.0002	
9	0.9910	0.0002	
10	0.9679	0.0003	
11	0.9637	0.0005	
12	0.9665	0.0001	
13	0.9911	0.0001	
14	0.9681	0.0002	
15	0.9660	0.0004	
16	0.9659	0.0001	
17	0.9910	0.0001	
18	0.9691	0.0001	
19	0.9661	0.0002	
20	0.9648	0.0001	
21	0.9910	0.0001	
22	0.9695	0.0001	
23	0.9663	0.0002	
24	0.9637	0.0001	
25	0.9909	0.0001	
26	0.9701	0.0001	
27	0.9657	0.0003	
28	0.9599	0.0006	
29	0.9892	0.0006	
30	0.9712	0.0007	
31	0.9670	0.0020	
