ibin	Eff	Err
0	0.0002	0.0001	
1	0.0015	0.0003	
2	0.0007	0.0001	
3	0.0020	0.0004	
4	0.0006	0.0001	
5	0.0057	0.0006	
6	0.0069	0.0005	
7	0.0198	0.0014	
8	0.4823	0.0023	
9	0.4834	0.0039	
10	0.4590	0.0023	
11	0.3585	0.0044	
12	0.9040	0.0012	
13	0.9184	0.0019	
14	0.9040	0.0012	
15	0.7525	0.0035	
16	0.9066	0.0005	
17	0.9347	0.0008	
18	0.9234	0.0006	
19	0.8086	0.0016	
20	0.9075	0.0004	
21	0.9363	0.0006	
22	0.9310	0.0004	
23	0.8396	0.0011	
24	0.9061	0.0002	
25	0.9368	0.0003	
26	0.9330	0.0002	
27	0.8647	0.0005	
28	0.9069	0.0002	
29	0.9363	0.0002	
30	0.9331	0.0002	
31	0.8799	0.0005	
32	0.9055	0.0003	
33	0.9365	0.0004	
34	0.9249	0.0003	
35	0.8860	0.0009	
36	0.8966	0.0015	
37	0.9349	0.0022	
38	0.8553	0.0022	
39	0.8675	0.0064	
