ibin	Eff	Err
0	0.0000	0.0000	
1	0.0023	0.0004	
2	0.0008	0.0002	
3	0.0008	0.0003	
4	0.0001	0.0001	
5	0.0043	0.0006	
6	0.0050	0.0005	
7	0.0049	0.0008	
8	0.5003	0.0025	
9	0.5040	0.0049	
10	0.4693	0.0026	
11	0.4546	0.0050	
12	0.9521	0.0009	
13	0.9527	0.0017	
14	0.9225	0.0013	
15	0.8912	0.0028	
16	0.9539	0.0004	
17	0.9608	0.0008	
18	0.9348	0.0006	
19	0.9129	0.0013	
20	0.9537	0.0003	
21	0.9647	0.0005	
22	0.9354	0.0004	
23	0.9163	0.0009	
24	0.9529	0.0001	
25	0.9679	0.0002	
26	0.9346	0.0002	
27	0.9169	0.0004	
28	0.9517	0.0001	
29	0.9686	0.0002	
30	0.9401	0.0001	
31	0.9166	0.0004	
32	0.9500	0.0002	
33	0.9689	0.0003	
34	0.9457	0.0003	
35	0.9155	0.0008	
36	0.9423	0.0014	
37	0.9666	0.0019	
38	0.9488	0.0016	
39	0.9035	0.0060	
