ibin	Eff	Err
0	0.9501	0.0011	
1	0.9511	0.0017	
2	0.9314	0.0011	
3	0.9002	0.0024	
4	0.9523	0.0007	
5	0.9564	0.0011	
6	0.9327	0.0008	
7	0.9106	0.0018	
8	0.9538	0.0004	
9	0.9633	0.0007	
10	0.9359	0.0006	
11	0.9152	0.0013	
12	0.9537	0.0003	
13	0.9658	0.0005	
14	0.9358	0.0004	
15	0.9178	0.0009	
16	0.9529	0.0001	
17	0.9684	0.0002	
18	0.9347	0.0002	
19	0.9177	0.0004	
20	0.9517	0.0001	
21	0.9689	0.0002	
22	0.9403	0.0001	
23	0.9172	0.0004	
24	0.9501	0.0002	
25	0.9688	0.0003	
26	0.9458	0.0003	
27	0.9161	0.0008	
28	0.9422	0.0017	
29	0.9662	0.0020	
30	0.9489	0.0016	
31	0.9050	0.0059	
