ibin	Eff	Err
0	0.8338	0.0033	
1	0.8459	0.0058	
2	0.8436	0.0026	
3	0.7763	0.0045	
4	0.8641	0.0011	
5	0.8748	0.0031	
6	0.8697	0.0015	
7	0.7937	0.0029	
8	0.8867	0.0006	
9	0.8882	0.0011	
10	0.8857	0.0010	
11	0.8142	0.0018	
12	0.9120	0.0006	
13	0.9078	0.0006	
14	0.9035	0.0007	
15	0.8333	0.0017	
16	0.9488	0.0002	
17	0.9423	0.0004	
18	0.9321	0.0003	
19	0.8564	0.0008	
20	0.9687	0.0001	
21	0.9659	0.0002	
22	0.9521	0.0002	
23	0.8722	0.0011	
24	0.9713	0.0003	
25	0.9690	0.0005	
26	0.9544	0.0004	
27	0.8745	0.0015	
28	0.9727	0.0004	
29	0.9676	0.0012	
30	0.9551	0.0007	
31	0.8765	0.0030	
32	0.9787	0.0037	
33	0.9601	0.0087	
34	0.9452	0.0059	
35	0.8735	0.0219	
