ibin	Eff	Err
0	0.8476	0.0017	
1	0.8591	0.0022	
2	0.8617	0.0009	
3	0.8209	0.0022	
4	0.8748	0.0007	
5	0.8856	0.0011	
6	0.8874	0.0008	
7	0.8424	0.0014	
8	0.8946	0.0004	
9	0.8970	0.0007	
10	0.9067	0.0004	
11	0.8660	0.0013	
12	0.9257	0.0003	
13	0.9199	0.0007	
14	0.9249	0.0005	
15	0.8864	0.0008	
16	0.9586	0.0001	
17	0.9526	0.0002	
18	0.9488	0.0002	
19	0.9036	0.0004	
20	0.9781	0.0001	
21	0.9758	0.0001	
22	0.9665	0.0004	
23	0.9151	0.0007	
24	0.9801	0.0001	
25	0.9777	0.0003	
26	0.9663	0.0000	
27	0.9124	0.0008	
28	0.9808	0.0002	
29	0.9752	0.0003	
30	0.9665	0.0003	
31	0.9096	0.0013	
32	0.9824	0.0013	
33	0.9705	0.0028	
34	0.9619	0.0025	
35	0.9161	0.0108	
