ibin	Eff	Err
0	0.7719	0.0020	
1	0.7802	0.0023	
2	0.7864	0.0013	
3	0.7505	0.0023	
4	0.8044	0.0006	
5	0.8125	0.0016	
6	0.8077	0.0008	
7	0.7635	0.0016	
8	0.8413	0.0006	
9	0.8361	0.0010	
10	0.8303	0.0006	
11	0.7873	0.0012	
12	0.8905	0.0003	
13	0.8728	0.0006	
14	0.8646	0.0004	
15	0.8181	0.0008	
16	0.9367	0.0001	
17	0.9190	0.0002	
18	0.9040	0.0001	
19	0.8500	0.0004	
20	0.9608	0.0001	
21	0.9497	0.0002	
22	0.9308	0.0001	
23	0.8710	0.0004	
24	0.9649	0.0002	
25	0.9544	0.0003	
26	0.9363	0.0002	
27	0.8812	0.0007	
28	0.9678	0.0002	
29	0.9567	0.0005	
30	0.9374	0.0004	
31	0.8775	0.0013	
32	0.9704	0.0014	
33	0.9526	0.0039	
34	0.9351	0.0023	
35	0.9023	0.0120	
