ibin	Eff	Err
0	0.8090	0.0040	
1	0.8318	0.0048	
2	0.8459	0.0024	
3	0.7909	0.0047	
4	0.8365	0.0015	
5	0.8551	0.0016	
6	0.8622	0.0017	
7	0.8067	0.0041	
8	0.8681	0.0010	
9	0.8682	0.0025	
10	0.8789	0.0012	
11	0.8261	0.0023	
12	0.9076	0.0006	
13	0.9037	0.0011	
14	0.9043	0.0007	
15	0.8511	0.0022	
16	0.9478	0.0001	
17	0.9424	0.0002	
18	0.9369	0.0002	
19	0.8749	0.0008	
20	0.9685	0.0001	
21	0.9659	0.0002	
22	0.9564	0.0002	
23	0.8871	0.0007	
24	0.9704	0.0003	
25	0.9681	0.0005	
26	0.9570	0.0005	
27	0.8845	0.0015	
28	0.9719	0.0004	
29	0.9669	0.0009	
30	0.9559	0.0007	
31	0.8795	0.0024	
32	0.9743	0.0029	
33	0.9635	0.0064	
34	0.9469	0.0043	
35	0.8820	0.0196	
