ibin	Eff	Err
0	0.0000	0.0000	
1	0.0010	0.0002	
2	0.0006	0.0001	
3	0.0012	0.0002	
4	0.0003	0.0002	
5	0.0024	0.0003	
6	0.0048	0.0003	
7	0.0145	0.0009	
8	0.4828	0.0016	
9	0.4976	0.0029	
10	0.4655	0.0017	
11	0.3933	0.0032	
12	0.9255	0.0007	
13	0.9236	0.0013	
14	0.8968	0.0009	
15	0.7700	0.0024	
16	0.9269	0.0003	
17	0.9314	0.0006	
18	0.9176	0.0004	
19	0.8295	0.0011	
20	0.9276	0.0002	
21	0.9343	0.0005	
22	0.9251	0.0003	
23	0.8521	0.0008	
24	0.9270	0.0001	
25	0.9359	0.0002	
26	0.9295	0.0001	
27	0.8752	0.0004	
28	0.9256	0.0001	
29	0.9362	0.0002	
30	0.9347	0.0001	
31	0.8896	0.0003	
32	0.9222	0.0002	
33	0.9348	0.0003	
34	0.9380	0.0002	
35	0.8964	0.0005	
36	0.9119	0.0010	
37	0.9241	0.0017	
38	0.9381	0.0011	
39	0.8931	0.0036	
