ibin	Eff	Err
0	0.8509	0.0037	
1	0.8575	0.0042	
2	0.8611	0.0021	
3	0.7951	0.0040	
4	0.8776	0.0018	
5	0.8905	0.0015	
6	0.8839	0.0014	
7	0.8264	0.0027	
8	0.8999	0.0010	
9	0.9050	0.0018	
10	0.9019	0.0010	
11	0.8462	0.0019	
12	0.9253	0.0004	
13	0.9205	0.0015	
14	0.9215	0.0006	
15	0.8664	0.0024	
16	0.9589	0.0002	
17	0.9532	0.0008	
18	0.9454	0.0012	
19	0.8875	0.0007	
20	0.9786	0.0001	
21	0.9758	0.0002	
22	0.9634	0.0002	
23	0.9025	0.0006	
24	0.9812	0.0003	
25	0.9787	0.0005	
26	0.9666	0.0004	
27	0.9025	0.0014	
28	0.9815	0.0004	
29	0.9764	0.0009	
30	0.9653	0.0006	
31	0.9081	0.0023	
32	0.9816	0.0027	
33	0.9747	0.0081	
34	0.9592	0.0052	
35	0.9174	0.0250	
