ibin	Eff	Err
0	0.8008	0.0025	
1	0.8100	0.0037	
2	0.8144	0.0017	
3	0.7565	0.0032	
4	0.8359	0.0008	
5	0.8466	0.0020	
6	0.8414	0.0011	
7	0.7791	0.0020	
8	0.8569	0.0008	
9	0.8607	0.0009	
10	0.8563	0.0007	
11	0.7950	0.0014	
12	0.8883	0.0004	
13	0.8782	0.0017	
14	0.8760	0.0003	
15	0.8166	0.0007	
16	0.9348	0.0001	
17	0.9241	0.0004	
18	0.9096	0.0002	
19	0.8474	0.0008	
20	0.9579	0.0001	
21	0.9523	0.0002	
22	0.9338	0.0002	
23	0.8687	0.0004	
24	0.9616	0.0001	
25	0.9554	0.0016	
26	0.9385	0.0016	
27	0.8801	0.0008	
28	0.9642	0.0003	
29	0.9570	0.0007	
30	0.9411	0.0005	
31	0.8825	0.0018	
32	0.9636	0.0025	
33	0.9543	0.0052	
34	0.9379	0.0038	
35	0.8759	0.0154	
