ibin	Eff	Err
0	0.9233	0.0008	
1	0.9299	0.0013	
2	0.9249	0.0008	
3	0.8995	0.0016	
4	0.9262	0.0005	
5	0.9322	0.0009	
6	0.9306	0.0005	
7	0.9153	0.0011	
8	0.9278	0.0003	
9	0.9363	0.0006	
10	0.9339	0.0004	
11	0.9210	0.0008	
12	0.9282	0.0002	
13	0.9370	0.0004	
14	0.9342	0.0003	
15	0.9217	0.0006	
16	0.9276	0.0001	
17	0.9378	0.0002	
18	0.9352	0.0001	
19	0.9250	0.0003	
20	0.9261	0.0001	
21	0.9376	0.0002	
22	0.9385	0.0001	
23	0.9260	0.0003	
24	0.9225	0.0002	
25	0.9361	0.0003	
26	0.9412	0.0002	
27	0.9239	0.0005	
28	0.9117	0.0010	
29	0.9248	0.0016	
30	0.9405	0.0010	
31	0.9123	0.0033	
