ibin	Eff	Err
0	0.8281	0.0030	
1	0.8252	0.0041	
2	0.8134	0.0023	
3	0.7572	0.0042	
4	0.8665	0.0016	
5	0.8648	0.0027	
6	0.8478	0.0015	
7	0.7825	0.0029	
8	0.8901	0.0009	
9	0.8825	0.0018	
10	0.8696	0.0010	
11	0.8051	0.0020	
12	0.9120	0.0005	
13	0.8983	0.0012	
14	0.8902	0.0007	
15	0.8298	0.0014	
16	0.9444	0.0002	
17	0.9306	0.0004	
18	0.9159	0.0003	
19	0.8568	0.0007	
20	0.9658	0.0001	
21	0.9579	0.0002	
22	0.9372	0.0002	
23	0.8781	0.0005	
24	0.9694	0.0002	
25	0.9601	0.0006	
26	0.9417	0.0004	
27	0.8825	0.0012	
28	0.9699	0.0004	
29	0.9597	0.0009	
30	0.9404	0.0007	
31	0.8847	0.0023	
32	0.9742	0.0029	
33	0.9647	0.0066	
34	0.9376	0.0060	
35	0.9163	0.0210	
