ibin	Eff	Err
0	0.8259	0.0010	
1	0.8320	0.0014	
2	0.8227	0.0008	
3	0.7893	0.0013	
4	0.8542	0.0004	
5	0.8655	0.0009	
6	0.8513	0.0005	
7	0.8221	0.0010	
8	0.8822	0.0003	
9	0.8840	0.0007	
10	0.8755	0.0004	
11	0.8453	0.0005	
12	0.9139	0.0003	
13	0.9037	0.0003	
14	0.8990	0.0005	
15	0.8726	0.0007	
16	0.9488	0.0002	
17	0.9384	0.0001	
18	0.9282	0.0001	
19	0.8954	0.0002	
20	0.9692	0.0001	
21	0.9640	0.0002	
22	0.9504	0.0003	
23	0.9109	0.0002	
24	0.9724	0.0001	
25	0.9670	0.0002	
26	0.9547	0.0001	
27	0.9121	0.0004	
28	0.9742	0.0007	
29	0.9680	0.0003	
30	0.9544	0.0002	
31	0.9152	0.0007	
32	0.9757	0.0009	
33	0.9699	0.0017	
34	0.9533	0.0012	
35	0.9282	0.0058	
