ibin	Eff	Err
0	0.7875	0.0026	
1	0.8018	0.0032	
2	0.8103	0.0015	
3	0.7526	0.0031	
4	0.8190	0.0008	
5	0.8334	0.0022	
6	0.8328	0.0011	
7	0.7766	0.0020	
8	0.8442	0.0008	
9	0.8475	0.0015	
10	0.8476	0.0008	
11	0.7916	0.0008	
12	0.8858	0.0004	
13	0.8759	0.0005	
14	0.8737	0.0005	
15	0.8159	0.0012	
16	0.9344	0.0001	
17	0.9238	0.0003	
18	0.9096	0.0003	
19	0.8478	0.0015	
20	0.9577	0.0000	
21	0.9521	0.0002	
22	0.9336	0.0004	
23	0.8686	0.0004	
24	0.9622	0.0002	
25	0.9559	0.0004	
26	0.9390	0.0003	
27	0.8815	0.0008	
28	0.9639	0.0003	
29	0.9563	0.0008	
30	0.9398	0.0005	
31	0.8808	0.0030	
32	0.9631	0.0046	
33	0.9544	0.0051	
34	0.9368	0.0036	
35	0.8724	0.0152	
