ibin	Eff	Err
0	0.0002	0.0001	
1	0.0014	0.0003	
2	0.0007	0.0001	
3	0.0020	0.0004	
4	0.0006	0.0001	
5	0.0057	0.0006	
6	0.0066	0.0004	
7	0.0202	0.0014	
8	0.4825	0.0023	
9	0.4835	0.0040	
10	0.4584	0.0023	
11	0.3582	0.0044	
12	0.9048	0.0012	
13	0.9170	0.0017	
14	0.9048	0.0012	
15	0.7533	0.0035	
16	0.9070	0.0005	
17	0.9354	0.0008	
18	0.9236	0.0006	
19	0.8087	0.0016	
20	0.9071	0.0004	
21	0.9362	0.0006	
22	0.9310	0.0004	
23	0.8399	0.0011	
24	0.9061	0.0002	
25	0.9368	0.0003	
26	0.9330	0.0002	
27	0.8649	0.0006	
28	0.9069	0.0002	
29	0.9364	0.0002	
30	0.9331	0.0002	
31	0.8800	0.0005	
32	0.9057	0.0003	
33	0.9358	0.0004	
34	0.9249	0.0003	
35	0.8854	0.0009	
36	0.8979	0.0015	
37	0.9351	0.0022	
38	0.8562	0.0023	
39	0.8698	0.0066	
