ibin	Eff	Err
0	0.9269	0.0013	
1	0.9663	0.0013	
2	0.9581	0.0008	
3	0.9289	0.0020	
4	0.9257	0.0008	
5	0.9647	0.0009	
6	0.9603	0.0006	
7	0.9345	0.0015	
8	0.9273	0.0005	
9	0.9658	0.0006	
10	0.9618	0.0004	
11	0.9405	0.0010	
12	0.9274	0.0003	
13	0.9657	0.0005	
14	0.9625	0.0003	
15	0.9410	0.0008	
16	0.9274	0.0002	
17	0.9648	0.0002	
18	0.9623	0.0002	
19	0.9443	0.0004	
20	0.9268	0.0001	
21	0.9638	0.0002	
22	0.9626	0.0001	
23	0.9453	0.0004	
24	0.9254	0.0003	
25	0.9633	0.0003	
26	0.9621	0.0002	
27	0.9414	0.0007	
28	0.9193	0.0014	
29	0.9610	0.0020	
30	0.9304	0.0017	
31	0.9230	0.0057	
