ibin	Eff	Err
0	0.8271	0.0022	
1	0.8443	0.0028	
2	0.8522	0.0023	
3	0.7946	0.0046	
4	0.8568	0.0011	
5	0.8702	0.0029	
6	0.8727	0.0015	
7	0.8138	0.0031	
8	0.8827	0.0011	
9	0.8843	0.0020	
10	0.8902	0.0010	
11	0.8325	0.0024	
12	0.9102	0.0006	
13	0.9065	0.0010	
14	0.9080	0.0007	
15	0.8534	0.0019	
16	0.9480	0.0002	
17	0.9423	0.0004	
18	0.9370	0.0003	
19	0.8753	0.0008	
20	0.9685	0.0001	
21	0.9660	0.0002	
22	0.9565	0.0002	
23	0.8872	0.0011	
24	0.9705	0.0003	
25	0.9682	0.0005	
26	0.9571	0.0005	
27	0.8842	0.0015	
28	0.9722	0.0004	
29	0.9674	0.0009	
30	0.9565	0.0007	
31	0.8798	0.0024	
32	0.9749	0.0029	
33	0.9650	0.0059	
34	0.9474	0.0043	
35	0.8825	0.0199	
