ibin	Eff	Err
0	0.8195	0.0015	
1	0.8234	0.0020	
2	0.8120	0.0011	
3	0.7540	0.0020	
4	0.8550	0.0009	
5	0.8534	0.0014	
6	0.8399	0.0008	
7	0.7826	0.0014	
8	0.8715	0.0004	
9	0.8632	0.0007	
10	0.8585	0.0006	
11	0.7996	0.0006	
12	0.9029	0.0003	
13	0.8877	0.0007	
14	0.8812	0.0007	
15	0.8255	0.0006	
16	0.9434	0.0002	
17	0.9296	0.0002	
18	0.9148	0.0001	
19	0.8561	0.0003	
20	0.9654	0.0000	
21	0.9574	0.0001	
22	0.9371	0.0001	
23	0.8777	0.0000	
24	0.9684	0.0001	
25	0.9594	0.0003	
26	0.9403	0.0002	
27	0.8797	0.0010	
28	0.9703	0.0004	
29	0.9580	0.0004	
30	0.9402	0.0004	
31	0.8855	0.0011	
32	0.9681	0.0015	
33	0.9592	0.0034	
34	0.9361	0.0029	
35	0.9063	0.0102	
