ibin	Eff	Err
0	0.8037	0.0024	
1	0.8090	0.0032	
2	0.8142	0.0017	
3	0.7557	0.0032	
4	0.8382	0.0007	
5	0.8470	0.0020	
6	0.8425	0.0011	
7	0.7797	0.0020	
8	0.8598	0.0004	
9	0.8633	0.0009	
10	0.8581	0.0007	
11	0.7966	0.0014	
12	0.8900	0.0004	
13	0.8810	0.0009	
14	0.8783	0.0005	
15	0.8182	0.0006	
16	0.9345	0.0001	
17	0.9239	0.0003	
18	0.9094	0.0003	
19	0.8485	0.0011	
20	0.9578	0.0001	
21	0.9521	0.0002	
22	0.9336	0.0004	
23	0.8685	0.0004	
24	0.9623	0.0003	
25	0.9557	0.0004	
26	0.9392	0.0003	
27	0.8783	0.0009	
28	0.9641	0.0003	
29	0.9569	0.0007	
30	0.9402	0.0005	
31	0.8848	0.0019	
32	0.9632	0.0025	
33	0.9551	0.0051	
34	0.9379	0.0038	
35	0.8762	0.0167	
